time,subject,fuzzer,run,cov_type,cov
1773673887,forked-daapd,aflnet,1,l_per,19.3
1773673887,forked-daapd,aflnet,1,l_abs,6110
1773673887,forked-daapd,aflnet,1,b_per,13.7
1773673887,forked-daapd,aflnet,1,b_abs,1932
1773673930,forked-daapd,aflnet,1,l_per,19.6
1773673930,forked-daapd,aflnet,1,l_abs,6185
1773673930,forked-daapd,aflnet,1,b_per,13.9
1773673930,forked-daapd,aflnet,1,b_abs,1961
1773692160,forked-daapd,aflnet,1,l_per,20.1
1773692160,forked-daapd,aflnet,1,l_abs,6340
1773692160,forked-daapd,aflnet,1,b_per,14.3
1773692160,forked-daapd,aflnet,1,b_abs,2019
1773693990,forked-daapd,aflnet,1,l_per,21.0
1773693990,forked-daapd,aflnet,1,l_abs,6643
1773693990,forked-daapd,aflnet,1,b_per,15.1
1773693990,forked-daapd,aflnet,1,b_abs,2133
1773700997,forked-daapd,aflnet,1,l_per,21.5
1773700997,forked-daapd,aflnet,1,l_abs,6802
1773700997,forked-daapd,aflnet,1,b_per,15.5
1773700997,forked-daapd,aflnet,1,b_abs,2181
1773715052,forked-daapd,aflnet,1,l_per,22.1
1773715052,forked-daapd,aflnet,1,l_abs,6996
1773715052,forked-daapd,aflnet,1,b_per,15.7
1773715052,forked-daapd,aflnet,1,b_abs,2219
1773727887,forked-daapd,aflnet,1,l_per,22.8
1773727887,forked-daapd,aflnet,1,l_abs,7217
1773727887,forked-daapd,aflnet,1,b_per,16.0
1773727887,forked-daapd,aflnet,1,b_abs,2261
1773751370,forked-daapd,aflnet,1,l_per,23.1
1773751370,forked-daapd,aflnet,1,l_abs,7309
1773751370,forked-daapd,aflnet,1,b_per,16.3
1773751370,forked-daapd,aflnet,1,b_abs,2294
1773762383,forked-daapd,aflnet,1,l_per,23.7
1773762383,forked-daapd,aflnet,1,l_abs,7480
1773762383,forked-daapd,aflnet,1,b_per,16.7
1773762383,forked-daapd,aflnet,1,b_abs,2350
1773673888,forked-daapd,aflnet,2,l_per,19.3
1773673888,forked-daapd,aflnet,2,l_abs,6110
