time,subject,fuzzer,run,state_type,state
1773673860,lighttpd1,aflnet,1,nodes,4
1773673860,lighttpd1,aflnet,1,edges,3
1773673895,lighttpd1,aflnet,1,nodes,4
1773673895,lighttpd1,aflnet,1,edges,3
1773673929,lighttpd1,aflnet,1,nodes,4
1773673929,lighttpd1,aflnet,1,edges,3
1773673940,lighttpd1,aflnet,1,nodes,4
1773673940,lighttpd1,aflnet,1,edges,3
1773673950,lighttpd1,aflnet,1,nodes,4
1773673950,lighttpd1,aflnet,1,edges,3
1773673956,lighttpd1,aflnet,1,nodes,4
1773673956,lighttpd1,aflnet,1,edges,3
1773673995,lighttpd1,aflnet,1,nodes,4
1773673995,lighttpd1,aflnet,1,edges,3
1773674000,lighttpd1,aflnet,1,nodes,4
1773674000,lighttpd1,aflnet,1,edges,3
1773674033,lighttpd1,aflnet,1,nodes,4
1773674033,lighttpd1,aflnet,1,edges,3
1773674038,lighttpd1,aflnet,1,nodes,4
1773674038,lighttpd1,aflnet,1,edges,3
1773674066,lighttpd1,aflnet,1,nodes,4
1773674066,lighttpd1,aflnet,1,edges,3
1773674071,lighttpd1,aflnet,1,nodes,4
1773674071,lighttpd1,aflnet,1,edges,3
1773674093,lighttpd1,aflnet,1,nodes,4
1773674093,lighttpd1,aflnet,1,edges,3
1773674099,lighttpd1,aflnet,1,nodes,4
1773674099,lighttpd1,aflnet,1,edges,3
1773674104,lighttpd1,aflnet,1,nodes,4
1773674104,lighttpd1,aflnet,1,edges,3
1773674125,lighttpd1,aflnet,1,nodes,4
1773674125,lighttpd1,aflnet,1,edges,3
1773674131,lighttpd1,aflnet,1,nodes,4
1773674131,lighttpd1,aflnet,1,edges,3
1773674136,lighttpd1,aflnet,1,nodes,4
1773674136,lighttpd1,aflnet,1,edges,3
1773674142,lighttpd1,aflnet,1,nodes,4
1773674142,lighttpd1,aflnet,1,edges,3
1773674147,lighttpd1,aflnet,1,nodes,4
1773674147,lighttpd1,aflnet,1,edges,3
1773674152,lighttpd1,aflnet,1,nodes,4
1773674152,lighttpd1,aflnet,1,edges,3
1773674168,lighttpd1,aflnet,1,nodes,5
1773674168,lighttpd1,aflnet,1,edges,4
1773674174,lighttpd1,aflnet,1,nodes,5
1773674174,lighttpd1,aflnet,1,edges,4
1773674190,lighttpd1,aflnet,1,nodes,5
1773674190,lighttpd1,aflnet,1,edges,4
1773674211,lighttpd1,aflnet,1,nodes,5
1773674211,lighttpd1,aflnet,1,edges,4
1773674233,lighttpd1,aflnet,1,nodes,5
1773674233,lighttpd1,aflnet,1,edges,4
1773674238,lighttpd1,aflnet,1,nodes,5
1773674238,lighttpd1,aflnet,1,edges,4
1773674244,lighttpd1,aflnet,1,nodes,5
1773674244,lighttpd1,aflnet,1,edges,4
1773674259,lighttpd1,aflnet,1,nodes,6
1773674259,lighttpd1,aflnet,1,edges,5
1773674265,lighttpd1,aflnet,1,nodes,6
1773674265,lighttpd1,aflnet,1,edges,5
1773674271,lighttpd1,aflnet,1,nodes,6
1773674271,lighttpd1,aflnet,1,edges,5
1773674276,lighttpd1,aflnet,1,nodes,6
1773674276,lighttpd1,aflnet,1,edges,5
1773674282,lighttpd1,aflnet,1,nodes,6
1773674282,lighttpd1,aflnet,1,edges,6
1773674298,lighttpd1,aflnet,1,nodes,6
1773674298,lighttpd1,aflnet,1,edges,6
1773674304,lighttpd1,aflnet,1,nodes,6
1773674304,lighttpd1,aflnet,1,edges,6
1773674309,lighttpd1,aflnet,1,nodes,6
1773674309,lighttpd1,aflnet,1,edges,6
1773674314,lighttpd1,aflnet,1,nodes,6
1773674314,lighttpd1,aflnet,1,edges,6
1773674319,lighttpd1,aflnet,1,nodes,6
1773674319,lighttpd1,aflnet,1,edges,6
1773674324,lighttpd1,aflnet,1,nodes,6
1773674324,lighttpd1,aflnet,1,edges,6
1773674335,lighttpd1,aflnet,1,nodes,6
1773674335,lighttpd1,aflnet,1,edges,6
1773674347,lighttpd1,aflnet,1,nodes,6
1773674347,lighttpd1,aflnet,1,edges,6
1773674363,lighttpd1,aflnet,1,nodes,6
1773674363,lighttpd1,aflnet,1,edges,6
1773674391,lighttpd1,aflnet,1,nodes,6
1773674391,lighttpd1,aflnet,1,edges,6
1773674412,lighttpd1,aflnet,1,nodes,6
1773674412,lighttpd1,aflnet,1,edges,6
1773674423,lighttpd1,aflnet,1,nodes,6
1773674423,lighttpd1,aflnet,1,edges,6
1773674429,lighttpd1,aflnet,1,nodes,6
1773674429,lighttpd1,aflnet,1,edges,6
1773674439,lighttpd1,aflnet,1,nodes,6
1773674439,lighttpd1,aflnet,1,edges,6
1773674444,lighttpd1,aflnet,1,nodes,6
1773674444,lighttpd1,aflnet,1,edges,6
1773674449,lighttpd1,aflnet,1,nodes,6
1773674449,lighttpd1,aflnet,1,edges,6
1773674460,lighttpd1,aflnet,1,nodes,6
1773674460,lighttpd1,aflnet,1,edges,6
1773674482,lighttpd1,aflnet,1,nodes,6
1773674482,lighttpd1,aflnet,1,edges,6
1773674488,lighttpd1,aflnet,1,nodes,6
1773674488,lighttpd1,aflnet,1,edges,6
1773674494,lighttpd1,aflnet,1,nodes,6
1773674494,lighttpd1,aflnet,1,edges,6
1773674505,lighttpd1,aflnet,1,nodes,6
1773674505,lighttpd1,aflnet,1,edges,6
1773674511,lighttpd1,aflnet,1,nodes,6
1773674511,lighttpd1,aflnet,1,edges,6
1773674516,lighttpd1,aflnet,1,nodes,6
1773674516,lighttpd1,aflnet,1,edges,6
1773674521,lighttpd1,aflnet,1,nodes,6
1773674521,lighttpd1,aflnet,1,edges,6
1773674526,lighttpd1,aflnet,1,nodes,6
1773674526,lighttpd1,aflnet,1,edges,6
1773674531,lighttpd1,aflnet,1,nodes,6
1773674531,lighttpd1,aflnet,1,edges,6
1773674537,lighttpd1,aflnet,1,nodes,6
1773674537,lighttpd1,aflnet,1,edges,6
1773674560,lighttpd1,aflnet,1,nodes,6
1773674560,lighttpd1,aflnet,1,edges,6
1773674566,lighttpd1,aflnet,1,nodes,6
1773674566,lighttpd1,aflnet,1,edges,6
1773674572,lighttpd1,aflnet,1,nodes,6
1773674572,lighttpd1,aflnet,1,edges,6
1773674593,lighttpd1,aflnet,1,nodes,6
1773674593,lighttpd1,aflnet,1,edges,6
1773674598,lighttpd1,aflnet,1,nodes,6
1773674598,lighttpd1,aflnet,1,edges,6
1773674626,lighttpd1,aflnet,1,nodes,6
1773674626,lighttpd1,aflnet,1,edges,6
1773674631,lighttpd1,aflnet,1,nodes,6
1773674631,lighttpd1,aflnet,1,edges,6
1773674637,lighttpd1,aflnet,1,nodes,6
1773674637,lighttpd1,aflnet,1,edges,6
1773674643,lighttpd1,aflnet,1,nodes,6
1773674643,lighttpd1,aflnet,1,edges,6
1773674664,lighttpd1,aflnet,1,nodes,6
1773674664,lighttpd1,aflnet,1,edges,6
1773674674,lighttpd1,aflnet,1,nodes,6
1773674674,lighttpd1,aflnet,1,edges,6
1773674685,lighttpd1,aflnet,1,nodes,6
1773674685,lighttpd1,aflnet,1,edges,6
1773674705,lighttpd1,aflnet,1,nodes,6
1773674705,lighttpd1,aflnet,1,edges,6
1773674710,lighttpd1,aflnet,1,nodes,6
1773674710,lighttpd1,aflnet,1,edges,6
1773674720,lighttpd1,aflnet,1,nodes,6
1773674720,lighttpd1,aflnet,1,edges,6
1773674731,lighttpd1,aflnet,1,nodes,6
1773674731,lighttpd1,aflnet,1,edges,6
1773674736,lighttpd1,aflnet,1,nodes,6
1773674736,lighttpd1,aflnet,1,edges,6
1773674742,lighttpd1,aflnet,1,nodes,6
1773674742,lighttpd1,aflnet,1,edges,6
1773674747,lighttpd1,aflnet,1,nodes,6
1773674747,lighttpd1,aflnet,1,edges,6
1773674774,lighttpd1,aflnet,1,nodes,6
1773674774,lighttpd1,aflnet,1,edges,6
1773674780,lighttpd1,aflnet,1,nodes,6
1773674780,lighttpd1,aflnet,1,edges,6
1773674796,lighttpd1,aflnet,1,nodes,6
1773674796,lighttpd1,aflnet,1,edges,6
1773674802,lighttpd1,aflnet,1,nodes,6
1773674802,lighttpd1,aflnet,1,edges,6
1773674829,lighttpd1,aflnet,1,nodes,6
1773674829,lighttpd1,aflnet,1,edges,6
1773674839,lighttpd1,aflnet,1,nodes,6
1773674839,lighttpd1,aflnet,1,edges,6
1773674845,lighttpd1,aflnet,1,nodes,6
1773674845,lighttpd1,aflnet,1,edges,6
1773674884,lighttpd1,aflnet,1,nodes,6
1773674884,lighttpd1,aflnet,1,edges,6
1773674904,lighttpd1,aflnet,1,nodes,6
1773674904,lighttpd1,aflnet,1,edges,6
1773674920,lighttpd1,aflnet,1,nodes,6
1773674920,lighttpd1,aflnet,1,edges,6
1773674930,lighttpd1,aflnet,1,nodes,6
1773674930,lighttpd1,aflnet,1,edges,6
1773674942,lighttpd1,aflnet,1,nodes,6
1773674942,lighttpd1,aflnet,1,edges,6
1773674947,lighttpd1,aflnet,1,nodes,6
1773674947,lighttpd1,aflnet,1,edges,6
1773674963,lighttpd1,aflnet,1,nodes,6
1773674963,lighttpd1,aflnet,1,edges,6
1773674985,lighttpd1,aflnet,1,nodes,6
1773674985,lighttpd1,aflnet,1,edges,6
1773674996,lighttpd1,aflnet,1,nodes,6
1773674996,lighttpd1,aflnet,1,edges,6
1773675012,lighttpd1,aflnet,1,nodes,6
1773675012,lighttpd1,aflnet,1,edges,6
1773675018,lighttpd1,aflnet,1,nodes,6
1773675018,lighttpd1,aflnet,1,edges,6
1773675034,lighttpd1,aflnet,1,nodes,6
1773675034,lighttpd1,aflnet,1,edges,6
1773675039,lighttpd1,aflnet,1,nodes,6
1773675039,lighttpd1,aflnet,1,edges,6
1773675060,lighttpd1,aflnet,1,nodes,6
1773675060,lighttpd1,aflnet,1,edges,6
1773675066,lighttpd1,aflnet,1,nodes,6
1773675066,lighttpd1,aflnet,1,edges,6
1773675071,lighttpd1,aflnet,1,nodes,6
1773675071,lighttpd1,aflnet,1,edges,6
1773675076,lighttpd1,aflnet,1,nodes,6
1773675076,lighttpd1,aflnet,1,edges,6
1773675087,lighttpd1,aflnet,1,nodes,6
1773675087,lighttpd1,aflnet,1,edges,6
1773675098,lighttpd1,aflnet,1,nodes,6
1773675098,lighttpd1,aflnet,1,edges,6
1773675109,lighttpd1,aflnet,1,nodes,6
1773675109,lighttpd1,aflnet,1,edges,6
1773675114,lighttpd1,aflnet,1,nodes,6
1773675114,lighttpd1,aflnet,1,edges,6
1773675139,lighttpd1,aflnet,1,nodes,6
1773675139,lighttpd1,aflnet,1,edges,6
1773675145,lighttpd1,aflnet,1,nodes,6
1773675145,lighttpd1,aflnet,1,edges,6
1773675160,lighttpd1,aflnet,1,nodes,6
1773675160,lighttpd1,aflnet,1,edges,6
1773675181,lighttpd1,aflnet,1,nodes,6
