time,subject,fuzzer,run,cov_type,cov
1773673826,kamailio,aflnet,1,l_per,4.2
1773673826,kamailio,aflnet,1,l_abs,10014
1773673826,kamailio,aflnet,1,b_per,0.8
1773673826,kamailio,aflnet,1,b_abs,4638
1773673923,kamailio,aflnet,1,l_per,5.5
1773673923,kamailio,aflnet,1,l_abs,13042
1773673923,kamailio,aflnet,1,b_per,1.1
1773673923,kamailio,aflnet,1,b_abs,6311
1773674018,kamailio,aflnet,1,l_per,5.5
1773674018,kamailio,aflnet,1,l_abs,13130
1773674018,kamailio,aflnet,1,b_per,1.1
1773674018,kamailio,aflnet,1,b_abs,6441
1773674149,kamailio,aflnet,1,l_per,5.6
1773674149,kamailio,aflnet,1,l_abs,13258
1773674149,kamailio,aflnet,1,b_per,1.2
1773674149,kamailio,aflnet,1,b_abs,6565
1773674316,kamailio,aflnet,1,l_per,5.7
1773674316,kamailio,aflnet,1,l_abs,13539
1773674316,kamailio,aflnet,1,b_per,1.2
1773674316,kamailio,aflnet,1,b_abs,6815
1773674452,kamailio,aflnet,1,l_per,5.8
1773674452,kamailio,aflnet,1,l_abs,13683
1773674452,kamailio,aflnet,1,b_per,1.2
1773674452,kamailio,aflnet,1,b_abs,7036
1773674575,kamailio,aflnet,1,l_per,5.9
1773674575,kamailio,aflnet,1,l_abs,13913
1773674575,kamailio,aflnet,1,b_per,1.3
1773674575,kamailio,aflnet,1,b_abs,7278
1773674696,kamailio,aflnet,1,l_per,6.0
1773674696,kamailio,aflnet,1,l_abs,14108
1773674696,kamailio,aflnet,1,b_per,1.3
1773674696,kamailio,aflnet,1,b_abs,7479
1773674839,kamailio,aflnet,1,l_per,6.0
1773674839,kamailio,aflnet,1,l_abs,14235
1773674839,kamailio,aflnet,1,b_per,1.3
1773674839,kamailio,aflnet,1,b_abs,7614
1773675007,kamailio,aflnet,1,l_per,6.2
1773675007,kamailio,aflnet,1,l_abs,14704
1773675007,kamailio,aflnet,1,b_per,1.4
1773675007,kamailio,aflnet,1,b_abs,7928
1773675172,kamailio,aflnet,1,l_per,6.3
1773675172,kamailio,aflnet,1,l_abs,14836
1773675172,kamailio,aflnet,1,b_per,1.4
1773675172,kamailio,aflnet,1,b_abs,8074
1773675357,kamailio,aflnet,1,l_per,6.3
1773675357,kamailio,aflnet,1,l_abs,14968
1773675357,kamailio,aflnet,1,b_per,1.4
1773675357,kamailio,aflnet,1,b_abs,8199
1773675564,kamailio,aflnet,1,l_per,6.4
1773675564,kamailio,aflnet,1,l_abs,15110
1773675564,kamailio,aflnet,1,b_per,1.5
1773675564,kamailio,aflnet,1,b_abs,8313
1773675830,kamailio,aflnet,1,l_per,6.4
1773675830,kamailio,aflnet,1,l_abs,15163
1773675830,kamailio,aflnet,1,b_per,1.5
1773675830,kamailio,aflnet,1,b_abs,8352
1773676055,kamailio,aflnet,1,l_per,6.4
1773676055,kamailio,aflnet,1,l_abs,15200
1773676055,kamailio,aflnet,1,b_per,1.5
1773676055,kamailio,aflnet,1,b_abs,8370
1773676346,kamailio,aflnet,1,l_per,6.4
1773676346,kamailio,aflnet,1,l_abs,15257
1773676346,kamailio,aflnet,1,b_per,1.5
1773676346,kamailio,aflnet,1,b_abs,8432
1773676558,kamailio,aflnet,1,l_per,6.5
1773676558,kamailio,aflnet,1,l_abs,15337
1773676558,kamailio,aflnet,1,b_per,1.5
1773676558,kamailio,aflnet,1,b_abs,8483
1773676797,kamailio,aflnet,1,l_per,6.5
1773676797,kamailio,aflnet,1,l_abs,15370
1773676797,kamailio,aflnet,1,b_per,1.5
1773676797,kamailio,aflnet,1,b_abs,8514
1773677044,kamailio,aflnet,1,l_per,6.5
1773677044,kamailio,aflnet,1,l_abs,15416
1773677044,kamailio,aflnet,1,b_per,1.5
1773677044,kamailio,aflnet,1,b_abs,8585
1773677312,kamailio,aflnet,1,l_per,6.5
1773677312,kamailio,aflnet,1,l_abs,15459
1773677312,kamailio,aflnet,1,b_per,1.5
1773677312,kamailio,aflnet,1,b_abs,8687
1773677592,kamailio,aflnet,1,l_per,6.6
1773677592,kamailio,aflnet,1,l_abs,15600
1773677592,kamailio,aflnet,1,b_per,1.6
1773677592,kamailio,aflnet,1,b_abs,8801
1773677859,kamailio,aflnet,1,l_per,6.6
1773677859,kamailio,aflnet,1,l_abs,15612
1773677859,kamailio,aflnet,1,b_per,1.6
1773677859,kamailio,aflnet,1,b_abs,8806
1773678157,kamailio,aflnet,1,l_per,6.6
1773678157,kamailio,aflnet,1,l_abs,15632
1773678157,kamailio,aflnet,1,b_per,1.6
1773678157,kamailio,aflnet,1,b_abs,8833
1773678519,kamailio,aflnet,1,l_per,6.6
1773678519,kamailio,aflnet,1,l_abs,15660
1773678519,kamailio,aflnet,1,b_per,1.6
1773678519,kamailio,aflnet,1,b_abs,8876
1773678885,kamailio,aflnet,1,l_per,6.6
1773678885,kamailio,aflnet,1,l_abs,15681
1773678885,kamailio,aflnet,1,b_per,1.6
1773678885,kamailio,aflnet,1,b_abs,8893
1773679321,kamailio,aflnet,1,l_per,6.6
1773679321,kamailio,aflnet,1,l_abs,15697
1773679321,kamailio,aflnet,1,b_per,1.6
1773679321,kamailio,aflnet,1,b_abs,8911
1773679701,kamailio,aflnet,1,l_per,6.6
1773679701,kamailio,aflnet,1,l_abs,15721
1773679701,kamailio,aflnet,1,b_per,1.6
1773679701,kamailio,aflnet,1,b_abs,8947
1773680162,kamailio,aflnet,1,l_per,6.6
1773680162,kamailio,aflnet,1,l_abs,15732
1773680162,kamailio,aflnet,1,b_per,1.6
1773680162,kamailio,aflnet,1,b_abs,8965
1773680424,kamailio,aflnet,1,l_per,6.6
1773680424,kamailio,aflnet,1,l_abs,15755
1773680424,kamailio,aflnet,1,b_per,1.6
1773680424,kamailio,aflnet,1,b_abs,8993
1773680760,kamailio,aflnet,1,l_per,6.6
1773680760,kamailio,aflnet,1,l_abs,15758
1773680760,kamailio,aflnet,1,b_per,1.6
1773680760,kamailio,aflnet,1,b_abs,9002
1773681131,kamailio,aflnet,1,l_per,6.7
1773681131,kamailio,aflnet,1,l_abs,15777
1773681131,kamailio,aflnet,1,b_per,1.6
1773681131,kamailio,aflnet,1,b_abs,9044
1773681356,kamailio,aflnet,1,l_per,6.7
1773681356,kamailio,aflnet,1,l_abs,15804
1773681356,kamailio,aflnet,1,b_per,1.6
1773681356,kamailio,aflnet,1,b_abs,9082
1773681779,kamailio,aflnet,1,l_per,6.7
1773681779,kamailio,aflnet,1,l_abs,15823
1773681779,kamailio,aflnet,1,b_per,1.6
1773681779,kamailio,aflnet,1,b_abs,9105
1773682085,kamailio,aflnet,1,l_per,6.7
1773682085,kamailio,aflnet,1,l_abs,15831
1773682085,kamailio,aflnet,1,b_per,1.6
1773682085,kamailio,aflnet,1,b_abs,9119
1773682590,kamailio,aflnet,1,l_per,6.7
1773682590,kamailio,aflnet,1,l_abs,15890
1773682590,kamailio,aflnet,1,b_per,1.6
1773682590,kamailio,aflnet,1,b_abs,9162
1773683040,kamailio,aflnet,1,l_per,6.7
1773683040,kamailio,aflnet,1,l_abs,15899
1773683040,kamailio,aflnet,1,b_per,1.6
1773683040,kamailio,aflnet,1,b_abs,9186
1773683422,kamailio,aflnet,1,l_per,6.7
1773683422,kamailio,aflnet,1,l_abs,15915
1773683422,kamailio,aflnet,1,b_per,1.6
1773683422,kamailio,aflnet,1,b_abs,9219
1773683958,kamailio,aflnet,1,l_per,6.7
1773683958,kamailio,aflnet,1,l_abs,15917
1773683958,kamailio,aflnet,1,b_per,1.6
1773683958,kamailio,aflnet,1,b_abs,9225
1773684446,kamailio,aflnet,1,l_per,6.7
1773684446,kamailio,aflnet,1,l_abs,15921
1773684446,kamailio,aflnet,1,b_per,1.6
1773684446,kamailio,aflnet,1,b_abs,9234
1773684852,kamailio,aflnet,1,l_per,6.7
1773684852,kamailio,aflnet,1,l_abs,15933
1773684852,kamailio,aflnet,1,b_per,1.6
1773684852,kamailio,aflnet,1,b_abs,9246
1773685454,kamailio,aflnet,1,l_per,6.7
1773685454,kamailio,aflnet,1,l_abs,15933
1773685454,kamailio,aflnet,1,b_per,1.6
1773685454,kamailio,aflnet,1,b_abs,9248
1773685986,kamailio,aflnet,1,l_per,6.7
1773685986,kamailio,aflnet,1,l_abs,15948
1773685986,kamailio,aflnet,1,b_per,1.6
